Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
,Azul,,,,,,,,,Yes,100.00,,,,,,,,,,,0,0,V-LIB-012-Azul,,,,,,,,,,,,,,,,,,,,,,a383cb68-1380-4aa7-bd07-17e46a76f07d
,Negro,,,,,,,,,Yes,100.00,,,,,,,,,,,0,0,V-LIB-012-Negr,,,,,,,,,,,,,,,,,,,,,,4eb3204b-bd74-498c-9011-f4bfc570c41e
EVEREADY Ampolleta LED Variedades,45w,,,,,,,,,Yes,1000.00,,No,19.00,No,,No,,,each.each,No,0,0,V-FER-001-045w,,,,Ferreteria,Yes,Light green,https://images.sumup.com/img_109079MCHV8ZJRFK2DSR4CG9AS,,,,,,,Yes,EVEREADY Ampolleta LED Variedades,,,No,,,c249fbab-e50d-480a-8ef2-915d5e97d21e,cc4ca87e-fa11-4826-bbb4-df7d5532570a
FABER CASTELL Lapis grafito hexagonal HB,,,,,,,,,,Yes,150.00,,No,19.00,No,,No,,,each.each,Yes,24,0,V-LIB-011,,,,Libreria,Yes,Orange,,,,,,,,Yes,FABER CASTELL Lapis grafito hexagonal HB,,,No,,,4415d5bf-69cb-4087-8cb9-c9b2e0d78e56,8c9f1564-76a9-4e8c-9f71-d7e6701577db
FACTIS Pack goma miga 2 un,,,,,,,,,,Yes,2000.00,,No,19.00,No,,No,,,each.each,Yes,1,0,V-LIB-010,,,,Libreria,Yes,Orange,,,,,,,,Yes,FACTIS Pack goma miga 2 un,,,No,,,bcec4eb5-29b4-4ed8-ade3-ed468e835e04,58cfdf60-b1d4-48b5-bfa7-453efd83345c
FACTIS Sucedaneo Goma de borrar miga S20,,,,,,,,,,Yes,300.00,,No,19.00,No,,No,,,each.each,Yes,20,0,V-LIB-009,,,,Libreria,Yes,Orange,https://images.sumup.com/img_7KDDB0J8W68FYAFMT956D1N4MN,,,,,,,Yes,FACTIS Sucedaneo Goma de borrar miga S20,,,No,,,66c085c7-bd9b-409b-adad-ff9629ea2898,4fccc16d-aa30-4aae-a093-194a12e6d38f
FEMU Papel Lustre 10 x 10 cms,,,,,,,,,,Yes,600.00,,No,19.00,No,,No,,,each.each,No,0,0,V-LIB-013,,,,Libreria,Yes,Orange,https://images.sumup.com/img_1CZ7BNCT2T9M5RFHGQTMC3AQNW,,,,,,,No,,,,No,,,de352909-c88b-41c8-869b-4910874dc591,28a0db8b-a47f-496d-99f4-9db7deaa313d
FEMU Papel Lustre Surtido,,,,,,,,,,Yes,600.00,,No,19.00,No,,No,,,each.each,Yes,6,0,V-LIB-020,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Papel Lustre Surtido,,,No,,,02c3d6a6-428d-4eda-8de2-97e48151fb16,9648ef7e-192f-45cd-8042-df9b368cc5e2
FEMU Pegamento en Barra 21 grs,,,,,,,,,,Yes,700.00,,No,19.00,No,,No,,,each.each,Yes,12,0,V-LIB-014,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Pegamento en Barra 21 grs,,,No,,,c12c38df-cf35-466c-a9b3-178487e33813,fcd7d64e-bff9-40bc-9921-a0748aadfe70
FEMU Sacapuntas con deposito Colores,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,https://images.sumup.com/img_62QFHRDA5P9RC9D26W80VWP230,,,,,,,No,,,,No,,,c70f622c-fc0b-4bce-b0be-858caa918b96,
